"Doença"," Descrição"
" Reação medicamentosa"," Uma reação adversa a medicamentos (RAM) é uma lesão causada pelo uso de medicamentos. As RAMs podem ocorrer após uma dose única ou administração prolongada de um medicamento, ou resultar da combinação de dois ou mais medicamentos."
" Malária"," Doença infecciosa causada por parasitas protozoários da família Plasmodium, que pode ser transmitida pela picada do mosquito Anopheles, por agulha contaminada ou por transfusão. A malária por falciparum é o tipo mais letal."
" Alergia"," Uma alergia é uma resposta do sistema imunológico a uma substância estranha que normalmente não é prejudicial ao seu corpo. Ela pode incluir certos alimentos, pólen ou pelos de animais de estimação. A função do seu sistema imunológico é mantê-lo saudável, combatendo patógenos nocivos."
" Hipotireoidismo"," Hipotireoidismo, também chamado de hipotireoidismo ou tireoide baixa, é um distúrbio do sistema endócrino em que a glândula tireoide não produz hormônio tireoidiano suficiente."
" Psoríase"," psoríase é uma doença de pele comum que forma manchas espessas, vermelhas e irregulares, cobertas por escamas prateadas. Elas podem surgir em qualquer lugar, mas a maioria aparece no couro cabeludo, cotovelos, joelhos e região lombar. A psoríase não é transmitida de pessoa para pessoa. Às vezes, pode ocorrer em membros da mesma família."
" DRGE"," A doença do refluxo gastroesofágico, ou DRGE, é um distúrbio digestivo que afeta o esfíncter esofágico inferior (EEI), o anel muscular entre o esôfago e o estômago. Muitas pessoas, incluindo gestantes, sofrem de azia ou indigestão ácida causadas pela DRGE."
" Colestase crônica"," As doenças colestáticas crônicas, que ocorrem na infância, na infância ou na idade adulta, são caracterizadas por transporte defeituoso de ácido biliar do fígado para o intestino, causado por dano primário ao epitélio biliar na maioria dos casos."
" hepatite A"," hepatite A é uma infecção hepática altamente contagiosa causada pelo vírus da hepatite A. O vírus é um dos vários tipos de vírus da hepatite que causam inflamação e afetam a capacidade do fígado de funcionar."
" Osteoartrite"," A osteoartrite é a forma mais comum de artrite, afetando milhões de pessoas em todo o mundo. Ela ocorre quando a cartilagem protetora que amortece as extremidades dos ossos se desgasta com o tempo."
" (vertigem) Vertigem posicional paromsal"," A vertigem posicional paroxística benigna (VPPB) é uma das causas mais comuns de vertigem — a sensação repentina de que você está girando ou que o interior da sua cabeça está girando. A vertigem posicional paroxística benigna causa breves episódios de tontura leve a intensa."
" Hipoglicemia","Hipoglicemia é uma condição na qual o nível de açúcar no sangue (glicose) está abaixo do normal. A glicose é a principal fonte de energia do seu corpo. A hipoglicemia é frequentemente relacionada ao tratamento do diabetes. Mas outros medicamentos e uma variedade de condições — muitas raras — podem causar hipoglicemia em pessoas sem diabetes."
" Acne"," Acne vulgar é a formação de comedões, pápulas, pústulas, nódulos e/ou cistos como resultado da obstrução e inflamação das unidades pilossebáceas (folículos pilosos e glândulas sebáceas que as acompanham). A acne se desenvolve na face e na parte superior do tronco. Afeta mais frequentemente adolescentes."
" Diabetes"," Diabetes é uma doença que ocorre quando a glicose no sangue, também chamada de açúcar no sangue, está muito alta. A glicose no sangue é sua principal fonte de energia e vem dos alimentos que você ingere. A insulina, um hormônio produzido pelo pâncreas, ajuda a glicose dos alimentos a chegar às células para ser usada como energia."
" Impetigo","Impetigo é uma infecção de pele comum e altamente contagiosa que afeta principalmente bebês e crianças. O impetigo geralmente se manifesta como feridas vermelhas no rosto, especialmente ao redor do nariz e da boca da criança, e nas mãos e nos pés. As feridas estouram e desenvolvem crostas cor de mel."
" Hipertensão"," A hipertensão arterial (HTA), também conhecida como pressão alta (PAA), é uma condição médica crônica na qual a pressão arterial nas artérias permanece elevada de forma persistente. A pressão alta geralmente não causa sintomas."
" Doença de úlcera péptica"," A úlcera péptica (DUP) é uma ruptura no revestimento interno do estômago, na primeira parte do intestino delgado ou, às vezes, na parte inferior do esôfago. Uma úlcera no estômago é chamada de úlcera gástrica, enquanto uma na primeira parte do intestino é uma úlcera duodenal."
" Hemorroidas dimórficas (pilhas)","Hemorroidas, também conhecidas como hemorroidas, são estruturas vasculares no canal anal. Em seu... Outros nomes, hemorroidas, hemorroidas, doença hemorroidária."
" Gripe comum"," O resfriado comum é uma infecção viral do nariz e da garganta (trato respiratório superior). Geralmente é inofensivo, embora possa não parecer. Muitos tipos de vírus podem causar um resfriado comum."
" Catapora"," A catapora é uma doença altamente contagiosa causada pelo vírus varicela-zóster (VZV). Pode causar uma erupção cutânea com coceira e bolhas. A erupção aparece primeiro no peito, costas e rosto, e depois se espalha por todo o corpo, causando entre 250 e 500 bolhas que coçam."
" Espondilose cervical"," Espondilose cervical é um termo geral para o desgaste relacionado à idade que afeta os discos vertebrais do pescoço. À medida que os discos desidratam e encolhem, surgem sinais de osteoartrite, incluindo projeções ósseas ao longo das bordas dos ossos (esporões ósseos)."
" Hipertireoidismo"," hipertireoidismo (tireoide hiperativa) ocorre quando a glândula tireoide produz uma quantidade excessiva do hormônio tiroxina. O hipertireoidismo pode acelerar o metabolismo do corpo, causando perda de peso involuntária e batimentos cardíacos acelerados ou irregulares."
" Infecção do trato urinário"," Infecção do trato urinário: Uma infecção do rim, ureter, bexiga ou uretra. ITU (sigla em inglês para infecção urinária). Nem todas as pessoas com ITU apresentam sintomas, mas os sintomas comuns incluem vontade frequente de urinar e dor ou ardência ao urinar."
" Varizes"," Uma veia dilatada e torcida, frequentemente aparecendo como um vaso sanguíneo azulado e saliente, claramente visível através da pele. As varizes são mais comuns em idosos, principalmente mulheres, e ocorrem principalmente nas pernas."
" AIDS"," síndrome da imunodeficiência adquirida (AIDS) é uma doença crônica e potencialmente fatal causada pelo vírus da imunodeficiência humana (HIV). Ao danificar o sistema imunológico, o HIV interfere na capacidade do corpo de combater infecções e doenças."
" Paralisia (hemorragia cerebral)"," Hemorragia intracerebral (HIC) ocorre quando o sangue irrompe repentinamente no tecido cerebral, causando danos ao cérebro. Os sintomas geralmente aparecem repentinamente durante a HIC. Eles incluem dor de cabeça, fraqueza, confusão e paralisia, principalmente em um lado do corpo."
" Tifóide"," Doença aguda caracterizada por febre causada pela infecção pela bactéria Salmonella typhi. A febre tifoide tem um início insidioso, com febre, dor de cabeça, constipação, mal-estar, calafrios e dores musculares. Diarreia é incomum e vômitos geralmente não são intensos."
" Hepatite B"," hepatite B é uma infecção do fígado. Pode causar cicatrizes no órgão, insuficiência hepática e câncer. Pode ser fatal se não for tratada. Ela se espalha quando as pessoas entram em contato com sangue, feridas abertas ou fluidos corporais de alguém que tenha o vírus da hepatite B."
" Infecção fúngica"," Em humanos, as infecções fúngicas ocorrem quando um fungo invasor invade uma área do corpo e se torna insuportável para o sistema imunológico. Os fungos podem viver no ar, no solo, na água e nas plantas. Existem também alguns fungos que vivem naturalmente no corpo humano. Como muitos micróbios, existem fungos benéficos e fungos nocivos."
" Hepatite C"," Inflamação do fígado causada pelo vírus da hepatite C (VHC), que geralmente é transmitido por transfusão de sangue (raro), hemodiálise e picadas de agulha. Os danos causados pela hepatite C ao fígado podem levar à cirrose e suas complicações, bem como ao câncer."
" Enxaqueca"," enxaqueca pode causar dor latejante intensa ou uma sensação de pulsação, geralmente em um lado da cabeça. Frequentemente é acompanhada de náuseas, vômitos e extrema sensibilidade à luz e ao som. As crises de enxaqueca podem durar horas ou dias, e a dor pode ser tão intensa que interfere nas suas atividades diárias."
" Asma brônquica"," A asma brônquica é uma condição médica que causa inchaço e estreitamento das vias aéreas dos pulmões. Devido a esse inchaço, as vias aéreas produzem excesso de muco, dificultando a respiração, resultando em tosse, falta de ar e chiado no peito. A doença é crônica e interfere no trabalho diário."
" Hepatite alcoólica"," A hepatite alcoólica é uma doença inflamatória do fígado causada pelo consumo excessivo de álcool por um período prolongado. Também é agravada pelo consumo excessivo e contínuo de álcool. Se você desenvolver essa condição, deve parar de consumir álcool."
" Icterícia","Coloração amarelada da pele e da esclera (a parte branca dos olhos) devido a níveis anormalmente elevados do pigmento biliar bilirrubina no sangue. O amarelamento se estende a outros tecidos e fluidos corporais. A icterícia já foi chamada de ""morbus regius"" (a doença real) na crença de que somente o toque de um rei poderia curá-la."
" Hepatite E"," Uma forma rara de inflamação do fígado causada pela infecção pelo vírus da hepatite E (VHE). É transmitida por meio de alimentos ou bebidas manipulados por uma pessoa infectada ou por meio de abastecimento de água contaminada em áreas onde as fezes podem entrar em contato com a água. A hepatite E não causa doença hepática crônica."
" Dengue"," uma doença infecciosa aguda causada por um flavivírus (espécie de vírus da dengue do gênero Flavivirus), transmitida por mosquitos aedes e caracterizada por dor de cabeça, dor articular intensa e erupção cutânea. — também chamada de febre quebra-ossos, dengue."
" Hepatite D"," hepatite D, também conhecida como vírus da hepatite delta, é uma infecção que causa inflamação no fígado. Esse inchaço pode prejudicar a função hepática e causar problemas hepáticos a longo prazo, incluindo cicatrizes hepáticas e câncer. A doença é causada pelo vírus da hepatite D (VHD)."
" Ataque cardíaco"," Morte do músculo cardíaco devido à perda de suprimento sanguíneo. A perda de suprimento sanguíneo geralmente é causada por um bloqueio completo de uma artéria coronária, uma das artérias que fornecem sangue ao músculo cardíaco."
" Pneumonia"," Pneumonia é uma infecção em um ou ambos os pulmões. É causada por bactérias, vírus e fungos. A infecção causa inflamação nos alvéolos pulmonares. Os alvéolos se enchem de líquido ou pus, dificultando a respiração."
" Artrite","Artrite é o inchaço e a sensibilidade de uma ou mais articulações. Os principais sintomas da artrite são dor e rigidez nas articulações, que geralmente pioram com a idade. Os tipos mais comuns de artrite são a osteoartrite e a artrite reumatoide."
" Gastroenterite"," Gastroenterite é uma inflamação do trato digestivo, particularmente do estômago e dos intestinos grosso e delgado. Gastroenterites virais e bacterianas são infecções intestinais associadas a sintomas de diarreia, cólicas abdominais, náuseas e vômitos."
" Tuberculose"," A tuberculose (TB) é uma doença infecciosa geralmente causada pela bactéria Mycobacterium tuberculosis (MTB). A tuberculose geralmente afeta os pulmões, mas também pode afetar outras partes do corpo. A maioria das infecções não apresenta sintomas, sendo, nesse caso, conhecida como tuberculose latente."
